组织名称,部门名称,a_position,b_position,relationship
营口新港矿石码头有限公司,运行一班,装载机司机（980型）,新港矿石流机作业部运行一班装载机司机（980型）,1
营口新港矿石码头有限公司,运行一班,装载机司机（980型）,营港股三流机作业部运行一班装载机司机（980型）,1
营口新港矿石码头有限公司,运行二班,发放员,保管员,0
营口新港矿石码头有限公司,运行二班,发放员,司机,0
营口新港矿石码头有限公司,运行二班,发放员,新港矿石流机作业部运行二班维修辅助,0
营口新港矿石码头有限公司,运行二班,发放员,营港股三流机作业部运行二班维修辅助,0
营口新港矿石码头有限公司,运行二班,发放员,锻工,0
营口新港矿石码头有限公司,运行二班,基层调度员,司机,1
营口新港矿石码头有限公司,运行二班,基层调度员,新港矿石流机作业部运行二班基层调度员,1
营口新港矿石码头有限公司,运行二班,基层调度员,班长,0
营口新港矿石码头有限公司,运行二班,基层调度员,营港股三流机作业部运行二班基层调度员,1
营口新港矿石码头有限公司,运行二班,基层调度员,调度员,1
营口新港矿石码头有限公司,运行二班,装载机司机（980型）,司机,1
营口新港矿石码头有限公司,运行二班,装载机司机（980型）,新港矿石流机作业部运行二班装载机司机（980型）,1
营口新港矿石码头有限公司,运行二班,装载机司机（980型）,营港股三流机作业部运行二班装载机司机（980型）,1
营口新港矿石码头有限公司,运行三班,发放员,司机,0
营口新港矿石码头有限公司,运行三班,发放员,新港矿石流机作业部运行三班维修辅助,0
营口新港矿石码头有限公司,运行三班,发放员,班长,0
营口新港矿石码头有限公司,运行三班,发放员,营港股三流机作业部运行三班维修辅助,0
营口新港矿石码头有限公司,运行三班,发放员,调度员,0
营口新港矿石码头有限公司,运行三班,基层调度员,厂长,0
营口新港矿石码头有限公司,运行三班,基层调度员,司机,0
营口新港矿石码头有限公司,运行三班,基层调度员,新港矿石流机作业部运行三班基层调度员,1
营口新港矿石码头有限公司,运行三班,基层调度员,营港股三流机作业部运行三班基层调度员,1
营口新港矿石码头有限公司,运行三班,基层调度员,调度员,1
营口新港矿石码头有限公司,运行三班,装载机司机（980型）,司机,1
营口新港矿石码头有限公司,运行三班,装载机司机（980型）,新港矿石流机作业部运行三班装载机司机（980型）,1
营口新港矿石码头有限公司,运行三班,装载机司机（980型）,营港股三流机作业部运行三班装载机司机（980型）,1
营口新港矿石码头有限公司,运行四班,发放员,司机,0
营口新港矿石码头有限公司,运行四班,发放员,新港矿石流机作业部运行四班维修辅助,0
营口新港矿石码头有限公司,运行四班,发放员,营港股三流机作业部运行四班维修辅助,0
营口新港矿石码头有限公司,运行四班,发放员,钢筋工,0
营口新港矿石码头有限公司,运行四班,基层调度员,司机,0
营口新港矿石码头有限公司,运行四班,基层调度员,新港矿石流机作业部运行四班基层调度员,1
营口新港矿石码头有限公司,运行四班,基层调度员,营港股三流机作业部运行四班基层调度员,1
营口新港矿石码头有限公司,运行四班,基层调度员,调度员,1
营口新港矿石码头有限公司,运行四班,装载机司机（980型）,修理工,0
营口新港矿石码头有限公司,运行四班,装载机司机（980型）,司机,1
营口新港矿石码头有限公司,运行四班,装载机司机（980型）,新港矿石流机作业部运行四班装载机司机（980型）,1
营口新港矿石码头有限公司,运行四班,装载机司机（980型）,营港股三流机作业部运行四班装载机司机（980型）,1
营口新港矿石码头有限公司,维修班,电气焊,新港矿石流机作业部维修班电气焊,1
营口新港矿石码头有限公司,维修班,电气焊,维修工,0
营口新港矿石码头有限公司,维修班,电气焊,营港股三流机作业部维修班电气焊,1
营口新港矿石码头有限公司,维修班,维修钳工,新港矿石流机作业部维修班机修工,1
营口新港矿石码头有限公司,维修班,维修钳工,维修工,1
营口新港矿石码头有限公司,维修班,维修钳工,营港股三流机作业部维修班机修工,1
营口新港矿石码头有限公司,维修班,维修钳工班长,新港矿石流机作业部维修班维修班长,1
营口新港矿石码头有限公司,维修班,维修钳工班长,维修工,1
营口新港矿石码头有限公司,维修班,维修钳工班长,营港股三流机作业部维修班维修班长,1
营口新港矿石码头有限公司,一中队,基层调度员,业务员,0
营口新港矿石码头有限公司,一中队,基层调度员,司机,0
营口新港矿石码头有限公司,一中队,基层调度员,新港矿石装卸监督部一中队基层调度员,1
营口新港矿石码头有限公司,一中队,基层调度员,理货员,0
营口新港矿石码头有限公司,一中队,基层调度员,维修电工,0
营口新港矿石码头有限公司,一中队,基层调度员,营港股三装卸作业部一中队基层调度员,1
营口新港矿石码头有限公司,一中队,基层调度员,调度员,1
营口新港矿石码头有限公司,三中队,基层调度员,安全员,0
营口新港矿石码头有限公司,三中队,基层调度员,斗轮机司机,0
营口新港矿石码头有限公司,三中队,基层调度员,新港矿石装卸监督部三中队基层调度员,1
营口新港矿石码头有限公司,三中队,基层调度员,电工,0
营口新港矿石码头有限公司,三中队,基层调度员,营港股三装卸作业部三中队基层调度员,1
营口新港矿石码头有限公司,三中队,基层调度员,装卸工,0
营口新港矿石码头有限公司,三中队,基层调度员,调度员,1
营口新港矿石码头有限公司,五中队,基层调度员,新港矿石装卸监督部五中队基层调度员,1
营口新港矿石码头有限公司,五中队,基层调度员,理货员,0
营口新港矿石码头有限公司,五中队,基层调度员,营港股三装卸作业部五中队基层调度员,1
营口新港矿石码头有限公司,五中队,基层调度员,装卸指导员,0
营口新港矿石码头有限公司,五中队,基层调度员,调度员,1
营口新港矿石码头有限公司,二中队,基层调度员,新港矿石装卸监督部二中队基层调度员,1
营口新港矿石码头有限公司,二中队,基层调度员,理货员,0
营口新港矿石码头有限公司,二中队,基层调度员,营港股三装卸作业部二中队基层调度员,1
营口新港矿石码头有限公司,二中队,基层调度员,装卸工,0
营口新港矿石码头有限公司,二中队,基层调度员,装卸指导员,0
营口新港矿石码头有限公司,二中队,基层调度员,调度员,1
招商局检测技术控股有限公司,公司领导,招商检测临时职位,CEO、党委书记，招商投资总经理、党委书记（二级公司正职））,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,CMCT总法律顾问,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,CMCT财务总监,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,业务主管,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,主任,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,公路总部副总经理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,副主任,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,副总经理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,副总经理、财务总监,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,副总经理、财务总监、纪委书记、党委委员,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,副财务总监,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,助理会计师/会计师,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,处长助理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总法律顾问,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理、党委书记（二级公司正职）,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理、党委书记，招商投资总经理、党委书记（二级公司正职）,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理、党委书记，招商投资总经理、党委书记（二级公司正职））,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理、党委书记，招商资本总经理、党委副书记（二级公司正职）,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理、党委书记；招商局国际财务总监（二级公司正职级）,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,总经理助理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,招商中特外部董事,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,招商新检高管,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,招商检测临时职位,1
招商局检测技术控股有限公司,公司领导,招商检测临时职位,文员,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,综合交通一处高级经理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,编辑,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,董事长,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,财务总监,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,财务部副总经理,0
招商局检测技术控股有限公司,公司领导,招商检测临时职位,高级经理,0
招商局检测技术控股有限公司,风险管理部/法律合规部/审计部,副总经理（主持工作）,中外运长航法律部高级经理,0
招商局检测技术控股有限公司,风险管理部/法律合规部/审计部,副总经理（主持工作）,副总经理（主持工作）,1
招商局检测技术控股有限公司,风险管理部/法律合规部/审计部,副总经理（主持工作）,招商检测临时职位,0
招商局检测技术控股有限公司,风险管理部/法律合规部/审计部,副总经理（主持工作）,招商检测认证（重庆）临时职位,0
招商局检测技术控股有限公司,风险管理部/法律合规部/审计部,副总经理（主持工作）,风险管理中心高级经理,1
招商局检测技术控股有限公司,战略运营部/科技创新部,战略运营部经理,战略运营部经理,1
招商局检测技术控股有限公司,战略运营部/科技创新部,运营管理岗,运营管理岗,1
招商局检测技术控股有限公司,战略运营部/科技创新部,高级主管,CMU分析员,0
招商局检测技术控股有限公司,战略运营部/科技创新部,高级主管,招垦资本分析员,0
招商局检测技术控股有限公司,战略运营部/科技创新部,高级主管,招垦资本经理,0
招商局检测技术控股有限公司,战略运营部/科技创新部,高级主管,资本管理（北京）分析员,0
招商局检测技术控股有限公司,战略运营部/科技创新部,高级主管,资本管理（北京）投资经理,0
招商局检测技术控股有限公司,战略运营部/科技创新部,高级主管,高级主管,1
招商局检测技术控股有限公司,监察部/纪委办公室,招商检测临时职位,招商检测临时职位,1
招商局检测技术控股有限公司,监察部/纪委办公室,招商检测临时职位,招商检测认证（重庆）临时职位,1
招商局检测技术控股有限公司,监察部/纪委办公室,招商检测临时职位,重庆金质临时职位,0
招商局检测技术控股有限公司,监察部/纪委办公室,招商检测认证临时职位,主任科员,0
招商局检测技术控股有限公司,监察部/纪委办公室,招商检测认证临时职位,招商检测认证临时职位,1
招商局检测技术控股有限公司,监察部/纪委办公室,招商检测认证临时职位,职员,0
招商局检测技术控股有限公司,监察部/纪委办公室,监察部高级主管,监察部高级主管,1
招商局检测技术控股有限公司,投资发展部,投资发展部高级主管,投资发展部高级主管,1
招商局检测技术控股有限公司,财务部,招商检测临时职位,主管会计,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,会计,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,公路总部财务部总经理,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,副总经理、总经理,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,北京公司助理会计师/资金管理师/税务管理师,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,北京公司部门经理助理,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,北京公司高级会计师/资金管理师/税务管理师,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,审计助理,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,招商检测临时职位,1
招商局检测技术控股有限公司,财务部,招商检测临时职位,经理,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,财务经理,0
招商局检测技术控股有限公司,财务部,招商检测临时职位,财务部主管会计,0
招商局检测技术控股有限公司,财务部,财务部经理,财务部经理,1
招商局检测技术控股有限公司,人力资源部/党委组织部,人力资源部高级经理,人力资源部高级经理,1
招商局检测技术控股有限公司,人力资源部/党委组织部,人力资源高级主管,人力资源高级主管,1
招商局检测技术控股有限公司,人力资源部/党委组织部,招商检测临时职位,专责,0
招商局检测技术控股有限公司,人力资源部/党委组织部,招商检测临时职位,人力资源部人力资源共享中心经理,0
